country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,129.0,125.0,121.0,117.0,113.0,109.0,104.0,100.0,96.0,91.9,88.0
Angola,206.0,200.0,193.0,185.0,176.0,167.0,157.0,148.0,138.0,129.0,120.0
Albania,25.9,24.5,23.1,21.8,20.4,19.2,17.9,16.7,15.5,14.4,13.3
Andorra,6.41,6.16,5.93,5.71,5.49,5.27,5.05,4.84,4.62,4.39,4.18
UAE,11.2,10.9,10.6,10.3,10.0,9.73,9.44,9.18,8.93,8.69,8.48
Argentina,19.6,18.9,18.3,17.7,17.1,16.5,16.1,15.7,15.3,14.9,14.4
Armenia,30.8,29.3,27.8,26.5,25.2,23.9,22.7,21.6,20.5,19.5,18.5
Antigua and Barbuda,15.8,15.1,14.4,13.7,13.1,12.5,11.9,11.3,10.8,10.2,9.59
Australia,6.19,6.08,5.99,5.91,5.82,5.72,5.59,5.41,5.21,4.99,4.77
Austria,5.5,5.41,5.31,5.2,5.05,4.9,4.76,4.65,4.54,4.44,4.33
Azerbaijan,75.0,69.8,64.9,60.4,56.2,52.5,49.2,46.0,43.1,40.3,37.6
Burundi,156.0,151.0,145.0,139.0,132.0,125.0,118.0,110.0,103.0,96.8,90.7
Belgium,5.81,5.59,5.4,5.22,5.07,4.94,4.83,4.73,4.64,4.55,4.46
Benin,139.0,136.0,133.0,129.0,126.0,123.0,120.0,118.0,116.0,113.0,111.0
Burkina Faso,179.0,175.0,171.0,166.0,160.0,153.0,145.0,137.0,129.0,122.0,114.0
Bangladesh,87.3,82.7,78.2,74.0,70.0,66.1,62.4,58.8,55.4,52.2,49.1
Bulgaria,17.5,16.8,15.9,15.1,14.2,13.3,12.5,11.9,11.4,11.1,10.7
Bahrain,12.5,12.0,11.6,11.3,10.9,10.6,10.2,9.79,9.35,8.92,8.53
Bahamas,15.7,15.5,15.4,15.3,15.1,14.9,14.5,14.2,13.7,13.3,12.9
Bosnia and Herzegovina,9.84,9.52,9.3,9.14,9.01,8.83,8.58,8.26,7.9,7.53,7.18
Belarus,12.8,11.8,10.8,10.0,9.24,8.52,7.83,7.17,6.55,6.0,5.52
Belize,23.6,22.9,22.2,21.7,21.3,20.9,20.6,20.2,19.9,19.4,18.9
Bolivia,75.3,71.0,67.0,63.1,59.4,55.8,52.5,49.4,46.4,43.7,41.1
