country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,,,,,,,,,,,
Afghanistan,,0.19,,,,,0.16,0.174,0.174,0.213,0.236
Angola,,,,,0.0621,,,,,0.131,
Albania,1.38,1.31,1.17,1.19,1.19,,1.18,1.2,,1.23,1.23
Andorra,2.57,2.6,2.9,3.33,3.13,3.23,3.01,3.01,,3.15,
UAE,1.8,1.98,2.0,2.08,1.92,1.52,1.33,1.41,1.64,1.52,1.42
Argentina,,3.25,,,3.19,,,,,,
Armenia,2.7,2.62,2.56,2.46,2.46,2.56,2.59,2.67,2.74,2.77,2.84
American Samoa,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,1.71,0.527,,
Australia,2.49,2.57,2.57,2.64,2.71,2.78,2.83,3.0,3.01,3.11,3.34
Austria,3.85,3.96,4.03,4.12,4.21,4.34,4.47,4.55,4.62,4.71,4.8
Azerbaijan,3.57,3.55,3.56,3.55,3.56,3.58,3.56,3.71,3.68,3.68,3.66
Burundi,0.052,,,,0.028,,,,,,0.0482
Belgium,2.82,2.84,2.85,2.85,2.85,2.85,2.87,2.89,2.9,2.91,2.91
Benin,,,,,0.0401,,,,0.0623,,0.0558
Burkina Faso,,0.04,,,0.0543,,,,0.0322,0.0446,0.0457
Bangladesh,,0.25,,0.271,0.281,0.308,0.317,0.329,0.342,0.354,0.363
Bulgaria,3.44,3.43,3.52,3.6,3.54,3.67,3.68,3.68,3.65,3.74,3.77
Bahrain,1.02,1.06,1.08,1.05,0.968,1.04,1.01,1.02,0.99,0.97,0.949
Bahamas,,,,,,,,,2.76,,
Bosnia and Herzegovina,1.45,1.45,1.45,1.48,1.51,1.53,1.58,1.64,1.67,1.74,1.8
Belarus,3.3,3.28,3.3,3.32,3.3,3.31,3.38,3.53,3.15,3.28,3.25
Belize,1.01,,,,,,,,,0.766,
Bermuda,,,,,,,,,,,
Bolivia,,1.2,,,,,,0.332,,,0.439
Brazil,1.35,1.39,1.42,1.48,1.59,1.67,1.7,1.73,1.78,1.82,1.81
Barbados,1.34,1.54,,,,1.77,,,,,
Brunei,1.01,,1.15,,1.29,1.07,1.08,1.05,1.49,1.16,1.45
Bhutan,,,,,0.185,,,0.217,0.255,,
Botswana,0.304,0.304,0.314,0.303,0.405,0.259,0.322,0.378,0.374,0.355,0.412
Central African Republic,,,,,0.0836,,,,0.0405,0.0473,
Canada,,1.89,1.9,,1.9,,1.91,,1.96,,2.04
Channel Islands,,,,,,,,,,,
Switzerland,3.92,3.94,4.04,4.21,4.26,4.28,4.33,4.32,3.83,3.85,3.82
Chile,,,0.892,0.947,0.984,0.98,1.04,1.04,1.04,1.03,2.87
China,1.24,1.25,1.11,1.16,1.19,1.21,1.25,1.27,1.32,1.39,1.43
Cote d'Ivoire,,,,,0.116,0.0925,,,0.14,,
Cameroon,,,,,0.181,0.0592,,0.0704,,0.068,0.0842
"Congo, Dem. Rep.",,,,,0.107,,,,,0.0934,
"Congo, Rep.",,,,,0.215,,0.209,0.103,,,0.116
Colombia,1.25,1.27,1.3,1.33,1.37,1.41,1.45,1.49,1.54,1.6,1.65
Comoros,,,,,0.193,0.19,,,,0.19,
Cape Verde,,,,,0.493,,,,,0.516,0.593
Costa Rica,1.31,,,,,,2.04,2.09,2.16,2.22,2.31
Cuba,5.93,5.94,5.99,6.06,6.2,6.27,6.35,6.44,6.63,6.67,6.82
Cayman Islands,,,,,,,,,,,
Cyprus,1.91,1.92,1.88,1.86,1.91,1.9,1.84,2.01,2.05,2.11,2.16
Czech Republic,4.09,3.43,3.49,3.51,3.51,3.55,4.27,4.26,3.54,3.56,3.57
Germany,3.28,3.33,3.36,3.39,3.41,3.43,3.47,3.53,3.59,3.66,3.76
Djibouti,,,,,0.167,0.179,0.233,,,,
Dominica,,1.78,,,,,,,,,
Denmark,2.91,2.93,3.04,3.08,3.23,3.33,3.42,3.45,3.58,3.65,3.72
Dominican Republic,1.85,,,,,,,,1.1,,
Algeria,,,1.11,,,1.02,,1.2,,,
Ecuador,1.45,1.54,1.57,1.5,,,,,,1.6,2.11
Egypt,2.12,,,0.528,,,,,,,
Eritrea,,,,,0.079,,,,,,
