country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,29k,29.7k,29.1k,29.1k,30.9k,30.5k,30.5k,31.1k,31.2k,27.2k,26.2k
Afghanistan,,,360,363,354,380,384,429,437,512,569
Angola,1830,1850,2030,2020,2170,2400,2590,2840,3050,2960,2990
Albania,1960,2140,2250,2380,2520,2680,2850,3040,3300,3430,3580
Andorra,33.9k,35.7k,35.7k,37.3k,38.7k,39.3k,41k,42.7k,41.5k,40.4k,40.9k
UAE,59.1k,56.8k,55.3k,57.3k,60k,58.7k,56.3k,48.5k,42k,34.8k,33.3k
Argentina,10.7k,10.1k,8900,9580,10.3k,11.1k,11.9k,12.9k,13.2k,12.3k,13.6k
Armenia,1250,1390,1580,1820,2020,2310,2640,3020,3250,2810,2890
American Samoa,,,12.8k,13k,13.1k,13.1k,12.7k,13k,12.8k,12.4k,12.5k
Antigua and Barbuda,14.2k,13.4k,13.4k,14k,14.7k,15.4k,17.2k,18.5k,18.2k,15.8k,14.4k
Australia,45.9k,46.2k,47.5k,48.5k,50k,50.9k,51.6k,52.6k,53.4k,53.3k,53.6k
Austria,38.8k,39.2k,39.6k,39.8k,40.7k,41.3k,42.5k,43.9k,44.4k,42.7k,43.3k
Azerbaijan,1480,1610,1750,1920,2080,2630,3500,4330,4690,5020,5220
Burundi,310,309,313,300,303,295,300,299,301,297,298
Belgium,35.7k,35.9k,36.4k,36.6k,37.8k,38.4k,39.1k,40.3k,40.2k,39k,39.8k
Benin,889,908,922,926,938,924,932,960,977,971,963
Burkina Faso,430,445,450,470,476,501,516,521,536,536,564
Bangladesh,646,666,679,699,723,759,800,847,890,927,968
Bulgaria,3720,3940,4260,4520,4850,5230,5630,6050,6460,6290,6430
Bahrain,21.7k,21.7k,21.9k,22.3k,22.3k,22k,21.8k,22k,21.9k,21.2k,21.5k
Bahamas,32.8k,33.2k,33.7k,32.8k,32.6k,33.3k,33.7k,33.7k,32.4k,30.6k,30.7k
Bosnia and Herzegovina,2550,2610,2740,2850,3060,3220,3420,3670,3930,3880,3980
Belarus,2620,2750,2910,3140,3520,3880,4290,4680,5180,5200,5620
Belize,5690,5800,5900,6260,6350,6300,6400,6420,6150,5960,5880
Bermuda,109k,116k,113k,116k,118k,119k,125k,129k,126k,118k,116k
Bolivia,2020,2020,2030,2050,2100,2150,2220,2280,2380,2410,2470
Brazil,6750,6750,6870,6870,7180,7330,7530,7910,8230,8140,8670
Barbados,16.7k,16.3k,16.3k,16.6k,16.8k,17.4k,18.4k,18.7k,18.7k,17.7k,17.2k
Brunei,34k,34.2k,34.9k,35.2k,34.8k,34.3k,35.2k,34.7k,33.5k,32.5k,32.8k
Bhutan,1120,1180,1270,1340,1390,1460,1540,1800,1860,1960,2170
Botswana,4920,4830,5030,5170,5220,5360,5700,5910,5980,5030,5430
Central African Republic,446,455,461,426,442,436,448,460,460,488,501
Canada,37.9k,38.2k,38.9k,39.3k,40.1k,41k,41.6k,42.1k,42.1k,40.4k,41.2k
Switzerland,73.7k,74.4k,73.8k,73.3k,74.7k,76.3k,78.9k,81.3k,82.5k,79.6k,81.3k
Chile,8550,8720,8900,9230,9750,10.2k,10.7k,11.2k,11.5k,11.2k,11.8k
China,2190,2360,2560,2800,3060,3390,3800,4320,4710,5130,5650
Cote d'Ivoire,1810,1730,1640,1520,1530,1510,1520,1510,1550,1570,1640
Cameroon,1140,1160,1180,1210,1260,1250,1260,1280,1280,1280,1280
"Congo, Dem. Rep.",340,323,322,331,342,352,359,370,380,379,393
"Congo, Rep.",2060,2060,2100,2060,2060,2140,2230,2010,2060,2210,2330
Colombia,4000,4010,4050,4140,4300,4450,4680,4940,5040,5040,5210
Comoros,1200,1210,1210,1210,1210,1220,1230,1210,1240,1250,1270
