country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7
Angola,52.0,50.7,49.5,48.3,47.1,46.0,44.9,43.8,42.7,43.5,44.3
Albania,30.1,30.9,31.7,31.4,31.0,30.6,30.4,30.2,30.0,29.7,29.5
Andorra,36.1,36.1,36.0,35.9,35.8,35.6,35.5,35.4,35.5,35.5,35.7
UAE,32.2,32.2,32.1,32.0,31.9,32.0,31.8,32.1,32.3,32.6,32.7
Argentina,51.1,53.3,53.8,50.9,48.4,47.7,46.4,46.2,44.9,43.6,43.6
Armenia,35.8,35.4,34.8,33.0,37.5,36.0,29.7,31.2,29.2,28.0,30.0
Antigua and Barbuda,37.4,37.5,37.5,37.4,37.3,37.2,37.0,36.9,36.9,37.2,37.4
Australia,33.3,33.5,33.5,33.5,33.1,33.6,34.2,34.8,35.4,35.0,34.7
Austria,28.8,29.1,29.3,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3
Azerbaijan,36.1,36.5,25.3,26.8,26.6,26.6,26.4,26.5,26.7,26.8,27.0
Burundi,39.9,38.7,37.6,36.5,35.4,34.4,33.4,34.1,34.8,35.5,36.3
Belgium,33.1,31.4,29.7,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4
Benin,38.7,38.5,38.5,38.6,39.2,39.7,40.3,40.9,41.5,42.2,42.8
Burkina Faso,47.1,45.8,44.5,43.3,42.6,42.0,41.5,40.9,40.3,39.8,38.8
Bangladesh,33.4,33.4,33.3,33.3,33.2,33.2,33.0,32.8,32.5,32.3,32.1
Bulgaria,31.0,32.7,30.7,28.9,31.0,33.3,35.7,36.1,33.6,33.8,35.6
Bahrain,35.4,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.6,35.6
Bahamas,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Bosnia and Herzegovina,30.0,30.0,31.3,32.6,34.0,33.7,33.4,33.1,33.0,33.0,33.0
Belarus,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6
Belize,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
Bolivia,61.6,57.4,59.3,57.1,55.0,58.5,56.7,54.5,50.8,49.2,47.6
Brazil,58.7,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54.0,53.7,53.3
Barbados,45.2,45.1,44.9,44.8,44.7,44.5,44.4,44.3,44.2,44.1,44.1
Brunei,34.8,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.8,34.8,34.8
Bhutan,41.3,41.3,41.2,40.9,40.2,39.5,38.8,38.1,38.2,38.4,38.5
Botswana,63.8,64.3,64.7,64.1,63.5,62.9,62.3,61.6,61.0,60.5,59.2
Central African Republic,58.7,58.4,58.1,57.8,57.5,57.2,56.9,56.5,56.2,56.7,56.7
Canada,33.3,33.4,33.5,33.6,33.7,33.8,33.8,33.8,33.8,33.7,33.6
Switzerland,33.4,32.5,31.7,32.2,32.8,33.4,33.9,34.3,33.8,32.9,32.5
Chile,52.8,52.3,51.9,51.5,50.0,48.7,47.3,47.2,47.1,47.0,46.5
China,39.8,40.9,42.0,41.6,41.3,40.9,41.6,42.3,43.0,43.4,43.8
Cote d'Ivoire,40.1,40.7,41.3,41.6,41.9,42.3,42.6,42.9,43.2,42.9,42.7
Cameroon,42.6,42.1,42.3,42.4,42.5,42.6,42.7,42.8,43.4,43.9,44.4
"Congo, Dem. Rep.",42.2,42.2,42.2,42.2,42.2,42.1,42.1,42.1,42.1,42.1,42.1
"Congo, Rep.",46.7,46.8,46.9,47.0,47.2,47.3,47.6,47.9,48.1,48.4,48.7
Colombia,58.7,57.5,56.0,53.6,55.0,53.9,54.4,54.9,55.3,54.3,54.6
Comoros,50.8,51.6,53.3,54.8,55.9,54.8,53.6,52.5,51.4,50.4,49.3
Cape Verde,52.7,52.5,51.6,50.7,49.8,48.9,48.0,47.2,46.6,45.9,45.3
Costa Rica,47.5,51.5,51.8,49.3,48.4,47.5,49.4,49.3,48.6,50.6,48.2
Cuba,42.4,42.5,42.6,42.7,42.8,42.9,43.0,43.2,43.2,43.3,43.4
Cyprus,29.9,29.9,29.9,29.9,30.1,30.3,31.1,31.1,31.7,32.1,31.5
Czech Republic,26.3,26.4,26.6,27.0,27.5,26.9,26.7,26.0,26.3,26.2,26.6
Germany,28.8,30.3,29.9,30.0,30.4,32.1,31.3,31.3,31.1,30.5,30.3
Djibouti,39.8,39.8,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0
Dominica,38.6,38.6,38.7,38.6,38.5,38.5,38.4,38.3,38.2,38.2,38.2
Denmark,23.8,24.4,25.0,25.6,24.9,25.2,25.9,26.2,25.3,26.7,27.2
Dominican Republic,51.5,50.0,49.7,52.1,52.1,50.0,52.0,48.9,48.1,48.9,47.3
Algeria,32.7,32.2,31.7,31.2,30.8,30.3,29.8,29.4,28.9,28.5,28.1
Ecuador,56.4,55.4,54.5,53.5,53.9,53.1,52.3,53.4,49.8,48.5,48.8
Egypt,32.6,32.4,32.2,32.0,31.9,31.7,31.5,31.3,31.1,30.6,30.2
Eritrea,41.1,41.0,41.0,41.1,41.2,41.2,41.3,41.3,41.6,41.5,41.5
Spain,34.3,33.4,32.6,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.3
Estonia,35.8,36.0,35.8,37.2,33.6,33.5,33.7,31.2,31.9,31.4,32.0
Ethiopia,29.9,29.9,29.9,29.8,29.8,30.4,30.9,31.4,32.0,32.6,33.2
Finland,27.2,27.3,27.5,27.7,27.9,27.6,28.0,28.3,27.8,27.5,27.7
Fiji,38.4,38.0,38.1,38.5,38.9,39.2,39.6,40.0,40.4,39.6,38.9
France,31.1,31.2,31.3,31.4,30.6,29.8,29.7,32.4,33.0,32.7,33.7
"Micronesia, Fed. Sts.",42.5,42.4,42.4,42.4,42.4,42.4,42.1,41.8,41.5,41.2,40.9
Gabon,45.5,44.8,44.1,43.4,42.8,42.2,41.8,41.5,41.1,40.8,40.4
UK,38.4,37.3,35.1,35.1,36.0,34.3,34.6,35.7,34.1,34.3,34.4
Georgia,40.5,39.6,37.3,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5
Ghana,40.8,41.2,41.6,42.0,42.4,42.8,42.7,42.7,42.6,42.5,42.5
Guinea,43.8,43.4,43.0,42.3,41.5,40.8,40.1,39.4,38.2,37.0,35.9
Gambia,48.0,47.8,47.6,47.3,46.8,46.2,45.7,45.1,44.6,44.1,43.6
Guinea-Bissau,37.2,36.4,35.6,37.2,38.9,40.6,42.5,44.4,46.4,48.5,50.7
Equatorial Guinea,38.2,37.4,37.1,37.0,36.4,36.2,36.2,36.0,35.8,35.8,36.1
Greece,34.2,33.7,33.3,32.8,33.6,34.6,35.1,34.0,33.6,33.6,34.1
Grenada,38.3,38.3,38.3,38.1,38.1,37.9,37.9,37.8,37.8,38.0,38.0
Guatemala,54.2,54.2,54.3,54.4,54.4,54.5,54.6,53.7,52.9,52.1,51.3
Guyana,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2
"Hong Kong, China",52.7,52.8,53.0,53.1,53.3,53.4,53.5,53.5,53.6,53.7,53.7
Honduras,55.4,55.4,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1
Holy See,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Croatia,31.3,31.1,30.6,30.1,29.7,30.6,31.6,32.6,33.7,32.6,32.4
Haiti,59.7,59.5,59.6,59.7,59.8,60.0,60.1,60.2,60.3,60.4,60.5
Hungary,27.2,26.9,26.8,30.9,29.9,34.7,28.3,27.9,27.5,27.0,29.4
Indonesia,28.6,29.0,31.7,31.9,32.7,33.0,34.3,35.7,35.1,35.1,36.4
India,33.4,33.6,33.9,34.1,34.4,34.6,34.8,35.0,35.2,35.4,35.5
Ireland,33.0,32.6,32.3,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3
Iran,44.0,43.9,43.8,43.7,43.6,43.6,44.8,43.8,42.9,42.0,40.8
Iraq,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.8,28.9,29.1,29.2
Iceland,26.6,25.9,26.4,26.8,28.0,29.0,30.3,29.5,31.8,28.7,26.2
Israel,38.7,39.0,39.6,40.4,41.1,41.8,41.4,41.1,41.6,42.0,42.5
Italy,35.3,35.1,35.0,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7
Jamaica,45.5,46.9,48.3,46.9,45.5,45.3,45.3,45.3,45.3,45.3,45.3
Jordan,36.7,36.8,37.0,36.1,35.4,34.6,33.9,33.2,32.6,33.1,33.7
Japan,33.6,34.0,35.0,34.5,34.5,35.4,33.9,34.8,34.8,33.4,32.1
Kazakhstan,35.8,36.0,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,27.9
Kenya,45.5,45.7,45.9,46.1,46.3,46.5,45.9,45.3,44.7,44.1,43.5
Kyrgyz Republic,31.0,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.4,29.9,30.1
Cambodia,41.8,41.7,41.7,41.6,41.5,41.3,41.2,41.1,41.0,41.1,41.1
Kiribati,36.9,37.0,36.9,36.9,37.0,36.9,37.0,37.0,37.0,37.0,37.0
St. Kitts and Nevis,37.0,37.0,37.0,37.1,37.0,36.9,36.8,36.8,36.7,36.8,36.9
South Korea,31.4,31.5,31.6,31.6,31.7,31.7,31.7,32.0,32.3,32.2,32.0
Kuwait,35.2,35.3,35.2,34.9,34.8,34.6,34.6,34.6,34.6,34.9,35.1
Lao,33.5,33.1,32.6,33.1,33.7,34.2,34.8,35.4,35.5,35.6,35.7
Lebanon,34.3,33.7,33.1,32.6,32.2,31.9,31.8,31.8,31.8,31.8,31.8
Liberia,36.8,36.8,36.8,36.8,36.8,36.8,36.7,36.5,36.0,35.5,35.0
Libya,37.5,37.6,37.7,37.5,37.4,37.2,37.1,37.0,37.0,37.0,37.0
St. Lucia,44.5,44.9,45.3,45.7,46.1,46.5,46.9,47.3,47.7,48.2,48.6
Liechtenstein,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Sri Lanka,38.8,39.5,40.2,40.0,39.9,39.8,39.7,38.4,37.2,36.0,36.9
