country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,1.24,2.03,2.51,4.11,4.27,4.91,4.5,5.28,5.18
Angola,44.6,70.3,50.0,58.4,47.9,53.1,82.7,105.0,161.0,267.0,139.0
Albania,96.2,107.0,109.0,117.0,151.0,164.0,178.0,189.0,221.0,244.0,225.0
Andorra,1280.0,1340.0,1480.0,1530.0,1610.0,1710.0,2010.0,2110.0,2250.0,2390.0,2280.0
UAE,664.0,777.0,684.0,700.0,634.0,550.0,554.0,564.0,613.0,1510.0,1150.0
Argentina,452.0,450.0,353.0,379.0,422.0,497.0,567.0,668.0,762.0,921.0,703.0
Armenia,23.1,36.4,35.9,46.5,48.6,60.6,75.9,90.2,102.0,106.0,96.9
Antigua and Barbuda,404.0,380.0,388.0,412.0,437.0,464.0,536.0,595.0,602.0,586.0,703.0
Australia,1510.0,1570.0,1700.0,1760.0,1910.0,1980.0,2090.0,2240.0,2320.0,2370.0,2340.0
Austria,2200.0,2210.0,2320.0,2420.0,2570.0,2650.0,2830.0,2960.0,3190.0,3330.0,3400.0
Azerbaijan,19.0,20.6,21.5,25.3,35.0,38.7,52.0,75.0,74.4,128.0,118.0
Burundi,5.67,7.24,7.09,6.19,12.5,14.7,18.3,19.7,18.1,16.4,18.1
Belgium,1680.0,1780.0,1880.0,2270.0,2410.0,2460.0,2420.0,2530.0,2790.0,2970.0,3010.0
Benin,23.2,29.3,23.4,28.2,28.5,32.3,33.3,34.0,33.0,37.0,32.0
Burkina Faso,15.6,15.0,18.5,23.1,30.9,41.5,40.1,44.1,47.8,44.2,47.2
Bangladesh,3.85,4.1,4.31,4.33,4.89,4.59,5.25,5.67,5.77,6.8,8.07
Bulgaria,235.0,295.0,352.0,388.0,395.0,438.0,435.0,490.0,569.0,551.0,516.0
Bahrain,551.0,622.0,684.0,720.0,705.0,700.0,668.0,675.0,694.0,759.0,794.0
Bahamas,650.0,668.0,708.0,744.0,827.0,821.0,987.0,980.0,1010.0,977.0,907.0
Bosnia and Herzegovina,182.0,205.0,222.0,293.0,301.0,317.0,371.0,435.0,519.0,573.0,597.0
Belarus,241.0,265.0,274.0,321.0,374.0,427.0,434.0,493.0,490.0,501.0,611.0
Belize,104.0,135.0,133.0,154.0,157.0,172.0,184.0,214.0,221.0,251.0,237.0
Bolivia,115.0,121.0,135.0,113.0,119.0,139.0,135.0,136.0,145.0,153.0,147.0
Brazil,202.0,220.0,237.0,234.0,271.0,279.0,320.0,346.0,369.0,401.0,484.0
Barbados,521.0,561.0,633.0,600.0,774.0,682.0,889.0,918.0,965.0,690.0,990.0
Brunei,1110.0,1140.0,1170.0,1210.0,1190.0,1080.0,989.0,1050.0,1030.0,1290.0,1230.0
Bhutan,131.0,129.0,191.0,112.0,103.0,123.0,158.0,190.0,212.0,220.0,239.0
Botswana,249.0,329.0,415.0,422.0,710.0,656.0,607.0,791.0,806.0,985.0,830.0
Central African Republic,10.8,10.2,11.0,10.2,9.86,8.85,9.48,10.4,9.99,10.4,11.0
Canada,1770.0,1910.0,2000.0,2150.0,2260.0,2420.0,2560.0,2700.0,2820.0,3050.0,3100.0
Switzerland,1780.0,1940.0,2100.0,2190.0,2280.0,2370.0,2490.0,2690.0,2910.0,3050.0,3180.0
Chile,320.0,350.0,365.0,303.0,318.0,337.0,364.0,414.0,482.0,576.0,578.0
China,41.4,42.0,48.9,55.6,64.3,74.1,87.4,113.0,142.0,182.0,203.0
Cote d'Ivoire,21.3,15.4,16.4,15.3,17.3,14.2,15.3,22.5,24.9,19.8,21.1
Cameroon,15.3,19.4,22.9,24.5,21.7,22.2,22.3,22.7,22.9,30.2,36.0
"Congo, Dem. Rep.",0.46,0.514,0.579,2.65,3.1,4.86,5.55,6.92,11.2,14.0,11.6
"Congo, Rep.",33.7,38.1,38.2,38.8,42.5,48.4,53.8,55.1,47.0,51.5,48.4
Cook Is,218.0,319.0,256.0,287.0,284.0,346.0,318.0,337.0,344.0,358.0,391.0
Colombia,303.0,308.0,316.0,346.0,360.0,381.0,412.0,440.0,439.0,488.0,518.0
Comoros,14.2,10.5,16.2,17.9,20.5,23.5,27.1,30.1,33.1,18.3,33.0
Cape Verde,69.9,82.2,84.0,81.2,94.0,96.7,125.0,126.0,130.0,129.0,138.0
