country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,791,772,1260,1280,1260,1350,1370,1540,1560,1830,2030
Angola,4370,4480,4990,5030,5440,6100,6630,7340,7870,7640,7690
Albania,6000,6550,6870,7270,7690,8140,8660,9220,9960,10.3k,10.8k
Andorra,48.3k,48.6k,48.8k,52.9k,55.8k,61.2k,65.9k,67.1k,64.1k,64.6k,60.5k
UAE,92k,89.9k,88.7k,92.8k,97.6k,95.8k,92.4k,79.9k,69.4k,57.4k,54.7k
Argentina,18.7k,17.7k,15.6k,16.8k,18.1k,19.5k,20.8k,22.4k,23.1k,21.4k,23.5k
Armenia,4270,4670,5280,5990,6590,7480,8460,9620,10.3k,8850,9070
Antigua and Barbuda,19.8k,18.4k,18.3k,19k,19.8k,20.7k,22.9k,24.5k,24k,20.7k,18.7k
Australia,40.1k,40.2k,41.2k,41.9k,43k,43.7k,44.1k,44.7k,45.2k,44.9k,45k
Austria,46.7k,47.1k,47.7k,47.9k,48.9k,49.6k,51k,52.7k,53.3k,51.1k,51.8k
Azerbaijan,4220,4570,4930,5380,5800,7310,9670,11.9k,12.8k,13.7k,14.1k
Burundi,862,855,865,826,832,807,818,814,817,804,804
Belgium,43.5k,43.8k,44.3k,44.5k,45.9k,46.6k,47.4k,48.8k,48.5k,47.1k,48k
Benin,2460,2510,2540,2550,2580,2530,2550,2630,2670,2660,2630
Burkina Faso,1330,1360,1370,1420,1430,1500,1540,1550,1580,1580,1660
Bangladesh,2240,2310,2370,2440,2540,2660,2810,2980,3130,3260,3400
Bulgaria,10.7k,11.3k,12.2k,12.9k,13.8k,14.9k,16k,17.2k,18.3k,17.8k,18.2k
Bahrain,41.9k,42.6k,43.7k,45.3k,45.9k,45.9k,45.7k,46.5k,46.5k,45k,45.6k
Bahamas,38.3k,38.6k,39k,37.9k,37.6k,38.2k,38.5k,38.4k,36.9k,34.7k,34.7k
Bosnia and Herzegovina,7190,7290,7600,7870,8390,8760,9280,9900,10.6k,10.4k,10.6k
Belarus,8590,8970,9410,10.1k,11.2k,12.3k,13.5k,14.6k,16.1k,16.1k,17.3k
Belize,8830,8980,9130,9670,9810,9720,9850,9860,9440,9120,8990
Bolivia,5370,5360,5390,5430,5560,5700,5860,6010,6260,6360,6500
Brazil,11.8k,11.8k,12k,12k,12.5k,12.7k,13.1k,13.7k,14.2k,14k,14.8k
Barbados,15.8k,15.3k,15.3k,15.6k,15.7k,16.2k,17.1k,17.4k,17.4k,16.5k,16k
Brunei,74k,74k,74.8k,75k,73.5k,72k,73.5k,71.9k,68.9k,66.2k,66.5k
Bhutan,4180,4400,4750,4990,5150,5400,5680,6630,6850,7210,7960
Botswana,11.4k,11.3k,11.8k,12.1k,12.2k,12.6k,13.4k,13.9k,14k,11.8k,12.7k
Central African Republic,1050,1060,1070,982,1010,999,1020,1050,1040,1110,1130
Canada,42.6k,42.8k,43.5k,43.8k,44.6k,45.4k,46k,46.4k,46.2k,44.2k,44.9k
Switzerland,60k,60.7k,60.3k,59.9k,61.2k,62.5k,64.6k,66.5k,67.4k,64.9k,66.1k
Chile,16.1k,16.4k,16.6k,17.1k,18k,18.8k,19.6k,20.4k,20.8k,20.3k,21.2k
China,3780,4020,4320,4660,5050,5550,6160,6940,7500,8120,8880
