country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Angola,7.56,,,,,,,,,8.21,
Albania,,,0.0223,,0.016,0.0132,,,0.00583,,
Argentina,1.87,3.08,4.73,3.42,2.41,1.79,1.47,1.18,1.09,1.07,0.699
Armenia,,0.576,0.442,0.324,0.23,0.127,0.0952,0.101,0.042,0.0463,0.0741
Australia,,0.262,,0.271,,,,,,,
Austria,0.0321,,,,0.0278,,,,,,
Azerbaijan,,0.509,0.00163,0.00329,0.0,0.0,,,0.0272,,
Burundi,,,,,,,6.54,,,,
Belgium,0.0513,,,,,,,,,,
Benin,,,,3.63,,,,,,,
Burkina Faso,,,,6.19,,,,,,6.71,
Bangladesh,77.6,,,,,72.2,,,,,65.4
Bulgaria,,0.17,,0.0485,,,,0.0196,0.0547,,0.121
Bosnia and Herzegovina,,0.0109,,,0.00389,,,0.00155,,,
Belarus,0.026,0.0119,0.0464,0.049,0.00584,0.0058,0.0048,0.0,0.0,0.00095,0.0
Belize,,,,,,,,,,,
Bolivia,2.28,1.85,1.94,,1.07,1.71,1.51,1.18,1.03,1.07,
Brazil,,18.1,15.9,17.5,15.0,13.4,11.2,11.1,9.34,9.13,
Bhutan,,,,0.148,,,,0.0694,,,
Botswana,,,,0.446,,,,,,0.262,
Central African Republic,,,,2.39,,,,,2.63,,
Canada,0.105,,,,0.109,,,0.112,,,0.116
Switzerland,0.0244,,0.0248,,0.0495,,,,,,
Chile,0.334,,,0.277,,,0.177,,,0.217,
China,,,359.0,,,206.0,,,164.0,,123.0
Cote d'Ivoire,,,4.95,,,,,,6.4,,
Cameroon,,4.07,,,,,,5.27,,,
"Congo, Dem. Rep.",,,,,,,48.8,,,,
"Congo, Rep.",,,,,,1.92,,,,,
Colombia,7.12,7.24,4.59,4.33,3.83,3.4,4.84,3.93,3.84,3.33,2.87
Comoros,,,,,0.27,,,,,,
Cape Verde,,,0.0965,,,,,,0.0665,,
Costa Rica,0.218,0.221,0.225,0.225,0.206,0.154,0.163,0.0919,0.103,0.132,0.0593
Czech Republic,,,,,,0.0,0.00717,,0.00415,0.00313,0.00419
Germany,0.0,,,,0.0,,,0.0,,,0.278
Djibouti,,,0.14,,,,,,,,
Denmark,0.0181,,,,0.0178,,,0.0213,,,0.0372
Dominican Republic,0.454,0.324,0.471,0.583,0.721,0.503,0.401,0.358,0.327,0.295,0.224
Algeria,,,,,,,,,,,
Ecuador,2.55,,,1.59,1.41,1.26,0.858,0.99,0.908,0.89,0.687
Egypt,1.2,,,,,1.62,,,1.27,,
