country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,94.4,93.2,92.2,88.5,88.2,87.8,88.2,88.4,88.3
Angola,20.8,14.5,21.1,18.9,24.0,25.5,20.7,19.8,15.7,10.1,17.5
Albania,63.9,61.8,63.9,64.1,60.3,59.8,60.6,61.8,60.4,58.8,61.0
Andorra,35.2,31.3,31.2,31.4,30.8,30.9,29.6,30.2,30.1,29.9,29.9
UAE,34.9,21.7,36.9,36.8,40.9,41.0,40.6,40.4,34.0,23.1,25.6
Argentina,46.1,45.8,46.4,47.7,47.7,45.8,44.2,40.6,37.4,33.6,45.4
Armenia,81.9,73.3,74.8,72.8,74.6,69.6,62.0,58.4,55.5,56.5,59.4
Antigua and Barbuda,31.0,34.5,34.8,35.8,36.6,36.9,34.3,33.6,32.1,32.9,29.0
Australia,33.2,33.7,33.1,33.9,33.3,33.1,33.4,32.5,32.0,32.0,32.0
Austria,23.2,23.9,24.2,24.5,24.3,23.9,24.0,23.6,22.8,22.3,22.5
Azerbaijan,81.5,81.1,82.3,87.3,87.0,88.7,85.8,80.4,80.7,76.9,79.7
Burundi,71.4,66.7,69.5,73.8,64.1,65.2,64.8,62.3,62.8,64.0,61.8
Belgium,25.4,24.6,26.2,25.2,24.0,24.1,26.1,26.5,25.0,24.9,25.3
Benin,55.8,50.8,55.8,52.3,52.3,50.3,49.8,49.0,48.3,46.2,50.5
Burkina Faso,60.4,62.6,56.1,53.6,46.3,40.5,43.1,39.7,41.0,50.3,49.0
Bangladesh,61.0,60.1,60.3,62.4,61.2,65.1,63.5,65.6,68.3,67.0,65.7
Bulgaria,39.1,41.6,38.7,37.9,39.2,39.1,43.0,41.8,41.5,44.6,45.5
Bahrain,32.5,33.0,33.4,33.1,32.8,31.0,30.0,29.3,28.8,29.9,26.7
Bahamas,52.4,52.5,52.9,53.3,52.8,55.7,52.8,55.0,54.8,53.2,54.4
Bosnia and Herzegovina,42.4,39.3,36.7,30.8,42.8,45.0,44.5,43.5,41.8,38.6,38.6
Belarus,24.5,28.4,29.5,26.2,25.3,27.1,29.8,30.9,34.9,36.0,22.3
Belize,47.2,42.3,43.7,42.6,42.7,40.3,39.0,36.2,37.0,36.2,37.3
Bolivia,39.9,40.7,37.2,39.9,37.4,33.8,30.1,31.8,34.9,35.4,37.2
Brazil,59.7,57.7,55.4,55.6,53.0,59.9,58.3,58.2,57.2,56.4,53.0
Barbados,34.2,32.4,31.6,34.4,35.5,35.6,35.2,36.0,34.5,41.4,35.0
Brunei,13.5,18.9,17.6,16.3,16.3,15.8,16.0,15.5,14.0,14.8,15.1
Bhutan,20.7,21.6,16.2,25.9,27.5,24.0,18.9,15.2,14.0,13.5,13.2
Botswana,37.8,30.0,28.9,31.5,23.4,25.7,27.1,23.5,24.0,24.0,27.5
Central African Republic,58.6,61.2,58.8,60.2,62.0,64.7,64.6,65.8,66.7,65.8,64.6
Canada,29.6,30.0,30.5,29.8,29.8,29.8,30.2,29.8,29.5,29.4,29.5
Switzerland,44.6,43.1,42.3,41.6,41.6,40.5,40.9,40.7,40.5,40.3,41.0
Chile,58.4,57.0,56.2,61.2,60.1,60.0,57.9,56.8,56.0,52.4,51.8
China,61.7,64.4,64.2,63.8,62.0,61.2,59.4,53.1,50.0,47.5,46.4
Cote d'Ivoire,73.7,75.8,70.0,74.2,74.6,80.2,80.8,77.7,76.3,79.2,78.4
Cameroon,79.2,76.0,73.4,73.2,76.1,76.4,77.0,77.6,79.6,74.1,70.4
"Congo, Dem. Rep.",95.9,94.8,94.1,78.8,78.2,70.0,68.9,63.8,52.9,55.3,57.5
"Congo, Rep.",42.3,45.0,47.3,50.1,46.2,40.5,36.7,42.4,51.9,52.5,53.3
Cook Is,9.5,6.7,8.7,8.68,9.57,5.71,6.56,6.5,6.38,6.24,6.16
Colombia,29.3,29.7,29.6,29.9,29.4,29.9,29.2,28.9,29.4,28.9,27.3
Comoros,47.3,52.5,42.7,41.8,39.6,39.0,36.3,34.7,32.6,46.8,32.8
Cape Verde,26.5,24.2,24.4,26.1,22.1,22.7,22.0,24.9,26.8,25.9,25.0
Costa Rica,23.2,24.7,25.4,25.9,27.9,29.7,31.0,32.7,33.1,32.6,31.9
Cuba,9.9,10.4,11.9,10.6,9.75,6.54,7.23,5.0,4.72,7.28,8.53
Cyprus,58.4,57.6,55.0,54.9,56.2,58.2,57.6,57.4,58.5,58.5,58.5
Czech Republic,9.68,10.2,9.53,10.2,10.8,12.7,13.3,14.8,17.4,16.0,16.3
Germany,20.5,20.7,21.0,21.6,23.3,23.4,23.6,23.6,23.4,23.1,22.9
Djibouti,32.2,35.1,35.5,33.0,38.3,31.6,33.3,30.8,32.0,30.7,34.7
Dominica,31.0,32.3,32.7,33.9,34.9,37.9,35.8,37.5,37.8,34.8,30.4
Denmark,16.1,15.8,15.5,15.4,15.7,15.5,15.4,15.3,15.1,15.0,14.9
Dominican Republic,65.5,68.9,67.7,66.9,71.3,68.4,63.0,64.0,63.0,58.6,56.6
Algeria,26.7,22.6,22.7,21.3,28.9,27.9,25.6,22.7,20.5,20.7,22.1
Ecuador,68.8,65.5,66.3,77.8,77.0,77.7,76.2,75.7,73.5,65.1,62.8
Egypt,59.5,59.5,59.7,59.6,59.5,59.4,55.8,58.8,57.8,60.5,62.6
Eritrea,52.4,47.3,50.7,52.8,53.8,54.0,54.4,54.7,49.5,52.3,51.8
Spain,28.4,28.8,28.7,29.8,29.6,29.4,28.7,28.5,27.4,26.4,27.2
Estonia,32.2,30.9,32.7,31.8,33.2,23.0,26.3,23.6,21.0,21.6,21.3
Ethiopia,46.4,42.9,46.0,42.1,42.8,39.1,44.7,43.3,48.1,46.5,46.5
Finland,28.7,28.0,27.5,25.4,25.0,24.6,25.2,25.6,25.6,25.3,24.9
Fiji,15.9,19.3,17.5,18.8,19.3,18.6,21.5,25.4,24.5,30.2,29.9
France,20.6,20.6,20.3,21.1,21.2,21.2,21.3,21.7,22.3,22.1,22.1
"Micronesia, Fed. Sts.",6.15,5.59,6.06,5.1,4.67,6.61,7.46,7.13,9.63,9.3,8.84
Gabon,58.0,58.0,63.7,56.2,54.3,57.7,57.3,56.1,56.3,52.1,47.1
UK,20.8,20.1,20.2,20.0,18.7,18.1,18.7,18.7,17.6,15.8,16.1
